Before cycle    0:   unstarted  0  unstarted  0  unstarted  0  unstarted  0  unstarted  0.
Before cycle   60:     running  3    blocked  1      ready  0  unstarted  0  unstarted  0.
Before cycle   61:     running  2      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   62:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   63:     blocked  3    running  9      ready  0  unstarted  0  unstarted  0.
Before cycle   64:     blocked  2    running  8      ready  0  unstarted  0  unstarted  0.
Before cycle   65:     blocked  1    running  7      ready  0  unstarted  0  unstarted  0.
Before cycle   66:       ready  0    running  6      ready  0  unstarted  0  unstarted  0.
Before cycle   67:       ready  0    running  5      ready  0  unstarted  0  unstarted  0.
Before cycle   68:       ready  0    running  4      ready  0  unstarted  0  unstarted  0.
Before cycle   69:       ready  0    running  3      ready  0  unstarted  0  unstarted  0.
Before cycle   70:       ready  0    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   71:       ready  0    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   72:     running  2    blocked  2      ready  0  unstarted  0  unstarted  0.
Before cycle   73:     running  1    blocked  1      ready  0  unstarted  0  unstarted  0.
Before cycle   74:     blocked  2      ready  0    running 10  unstarted  0  unstarted  0.
Before cycle   75:     blocked  1      ready  0    running  9  unstarted  0  unstarted  0.
Before cycle   76:       ready  0      ready  0    running  8  unstarted  0  unstarted  0.
Before cycle   77:       ready  0      ready  0    running  7  unstarted  0  unstarted  0.
Before cycle   78:       ready  0      ready  0    running  6  unstarted  0  unstarted  0.
Before cycle   79:       ready  0      ready  0    running  5  unstarted  0  unstarted  0.
Before cycle   80:       ready  0      ready  0    running  4  unstarted  0  unstarted  0.
Before cycle   81:       ready  0      ready  0    running  3  unstarted  0  unstarted  0.
Before cycle   82:       ready  0      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   83:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   84:     running  1      ready  0    blocked  1  unstarted  0  unstarted  0.
Before cycle   85:     blocked  1    running  6      ready  0  unstarted  0  unstarted  0.
Before cycle   86:       ready  0    running  5      ready  0  unstarted  0  unstarted  0.
Before cycle   87:       ready  0    running  4      ready  0  unstarted  0  unstarted  0.
Before cycle   88:       ready  0    running  3      ready  0  unstarted  0  unstarted  0.
Before cycle   89:       ready  0    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   90:       ready  0    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   91:     running  2    blocked  1      ready  0  unstarted  0  unstarted  0.
Before cycle   92:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   93:     blocked  2    running  5      ready  0  unstarted  0  unstarted  0.
Before cycle   94:     blocked  1    running  4      ready  0  unstarted  0  unstarted  0.
Before cycle   95:       ready  0    running  3      ready  0  unstarted  0  unstarted  0.
Before cycle   96:       ready  0    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   97:       ready  0    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   98:     running  1    blocked  2      ready  0  unstarted  0  unstarted  0.
Before cycle   99:     blocked  1    blocked  1    running  2  unstarted  0  unstarted  0.
Before cycle  100:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle  101:     running  3      ready  0    blocked  3      ready  0      ready  0.
Before cycle  102:     running  2      ready  0    blocked  2      ready  0      ready  0.
Before cycle  103:     running  1      ready  0    blocked  1      ready  0      ready  0.
Before cycle  104:     blocked  2      ready  0      ready  0    running  1      ready  0.
Before cycle  105:     blocked  1      ready  0      ready  0    blocked  3    running 16.
Before cycle  106:       ready  0      ready  0      ready  0    blocked  2    running 15.
Before cycle  107:       ready  0      ready  0      ready  0    blocked  1    running 14.
Before cycle  108:       ready  0      ready  0      ready  0      ready  0    running 13.
Before cycle  109:       ready  0      ready  0      ready  0      ready  0    running 12.
Before cycle  110:       ready  0      ready  0      ready  0      ready  0    running 11.
Before cycle  111:       ready  0      ready  0      ready  0      ready  0    running 10.
Before cycle  112:       ready  0      ready  0      ready  0      ready  0    running  9.
Before cycle  113:       ready  0      ready  0      ready  0      ready  0    running  8.
Before cycle  114:       ready  0      ready  0      ready  0      ready  0    running  7.
Before cycle  115:       ready  0      ready  0      ready  0      ready  0    running  6.
Before cycle  116:       ready  0      ready  0      ready  0      ready  0    running  5.
Before cycle  117:       ready  0      ready  0      ready  0      ready  0    running  4.
Before cycle  118:       ready  0      ready  0      ready  0      ready  0    running  3.
Before cycle  119:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  120:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  121:       ready  0      ready  0      ready  0    running  1    blocked  1.
Before cycle  122:     running  2      ready  0      ready  0    blocked  2      ready  0.
Before cycle  123:     running  1      ready  0      ready  0    blocked  1      ready  0.
Before cycle  124:     blocked  3      ready  0      ready  0    running  1      ready  0.
Before cycle  125:     blocked  2      ready  0    running  3    blocked  1      ready  0.
Before cycle  126:     blocked  1      ready  0    running  2      ready  0      ready  0.
Before cycle  127:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  128:       ready  0      ready  0    blocked  3    running  1      ready  0.
Before cycle  129:     running  1      ready  0    blocked  2    blocked  2      ready  0.
Before cycle  130:     blocked  1    running  6    blocked  1    blocked  1      ready  0.
Before cycle  131:       ready  0    running  5      ready  0      ready  0      ready  0.
Before cycle  132:       ready  0    running  4      ready  0      ready  0      ready  0.
Before cycle  133:       ready  0    running  3      ready  0      ready  0      ready  0.
Before cycle  134:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  135:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  136:       ready  0    blocked  1      ready  0    running  1      ready  0.
Before cycle  137:     running  2      ready  0      ready  0    blocked  3      ready  0.
Before cycle  138:     running  1      ready  0      ready  0    blocked  2      ready  0.
Before cycle  139:     blocked  1      ready  0    running 14    blocked  1      ready  0.
Before cycle  140:       ready  0      ready  0    running 13      ready  0      ready  0.
Before cycle  141:       ready  0      ready  0    running 12      ready  0      ready  0.
Before cycle  142:       ready  0      ready  0    running 11      ready  0      ready  0.
Before cycle  143:       ready  0      ready  0    running 10      ready  0      ready  0.
Before cycle  144:       ready  0      ready  0    running  9      ready  0      ready  0.
Before cycle  145:       ready  0      ready  0    running  8      ready  0      ready  0.
Before cycle  146:       ready  0      ready  0    running  7      ready  0      ready  0.
Before cycle  147:       ready  0      ready  0    running  6      ready  0      ready  0.
Before cycle  148:       ready  0      ready  0    running  5      ready  0      ready  0.
Before cycle  149:       ready  0      ready  0    running  4      ready  0      ready  0.
Before cycle  150:       ready  0      ready  0    running  3      ready  0      ready  0.
Before cycle  151:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  152:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  153:       ready  0      ready  0    blocked  3    running  1      ready  0.
Before cycle  154:     running  1      ready  0    blocked  2    blocked  1      ready  0.
Before cycle  155:     blocked  1      ready  0    blocked  1    running  1      ready  0.
Before cycle  156:     running  3      ready  0      ready  0    blocked  1      ready  0.
Before cycle  157:     running  2      ready  0      ready  0      ready  0      ready  0.
Before cycle  158:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  159:     blocked  3      ready  0      ready  0    running  1      ready  0.
Before cycle  160:     blocked  2      ready  0      ready  0    blocked  3    running 88.
Before cycle  161:     blocked  1      ready  0      ready  0    blocked  2    running 87.
Before cycle  162:       ready  0      ready  0      ready  0    blocked  1    running 86.
Before cycle  163:       ready  0      ready  0      ready  0      ready  0    running 85.
Before cycle  164:       ready  0      ready  0      ready  0      ready  0    running 84.
Before cycle  165:       ready  0      ready  0      ready  0      ready  0    running 83.
Before cycle  166:       ready  0      ready  0      ready  0      ready  0    running 82.
Before cycle  167:       ready  0      ready  0      ready  0      ready  0    running 81.
Before cycle  168:       ready  0      ready  0      ready  0      ready  0    running 80.
Before cycle  169:       ready  0      ready  0      ready  0      ready  0    running 79.
Before cycle  170:       ready  0      ready  0      ready  0      ready  0    running 78.
Before cycle  171:       ready  0      ready  0      ready  0      ready  0    running 77.
Before cycle  172:       ready  0      ready  0      ready  0      ready  0    running 76.
Before cycle  173:       ready  0      ready  0      ready  0      ready  0    running 75.
Before cycle  174:       ready  0      ready  0      ready  0      ready  0    running 74.
Before cycle  175:       ready  0      ready  0      ready  0      ready  0    running 73.
Before cycle  176:       ready  0      ready  0      ready  0      ready  0    running 72.
Before cycle  177:       ready  0      ready  0      ready  0      ready  0    running 71.
Before cycle  178:       ready  0      ready  0      ready  0      ready  0    running 70.
Before cycle  179:       ready  0      ready  0      ready  0      ready  0    running 69.
Before cycle  180:       ready  0      ready  0      ready  0      ready  0    running 68.
Before cycle  181:       ready  0      ready  0      ready  0      ready  0    running 67.
Before cycle  182:       ready  0      ready  0      ready  0      ready  0    running 66.
Before cycle  183:       ready  0      ready  0      ready  0      ready  0    running 65.
Before cycle  184:       ready  0      ready  0      ready  0      ready  0    running 64.
Before cycle  185:       ready  0      ready  0      ready  0      ready  0    running 63.
Before cycle  186:       ready  0      ready  0      ready  0      ready  0    running 62.
Before cycle  187:       ready  0      ready  0      ready  0      ready  0    running 61.
Before cycle  188:       ready  0      ready  0      ready  0      ready  0    running 60.
Before cycle  189:       ready  0      ready  0      ready  0      ready  0    running 59.
Before cycle  190:       ready  0      ready  0      ready  0      ready  0    running 58.
Before cycle  191:       ready  0      ready  0      ready  0      ready  0    running 57.
Before cycle  192:       ready  0      ready  0      ready  0      ready  0    running 56.
Before cycle  193:       ready  0      ready  0      ready  0      ready  0    running 55.
Before cycle  194:       ready  0      ready  0      ready  0      ready  0    running 54.
Before cycle  195:       ready  0      ready  0      ready  0      ready  0    running 53.
Before cycle  196:       ready  0      ready  0      ready  0      ready  0    running 52.
Before cycle  197:       ready  0      ready  0      ready  0      ready  0    running 51.
Before cycle  198:       ready  0      ready  0      ready  0      ready  0    running 50.
Before cycle  199:       ready  0      ready  0      ready  0      ready  0    running 49.
Before cycle  200:       ready  0      ready  0      ready  0      ready  0    running 48.
Before cycle  201:       ready  0      ready  0      ready  0      ready  0    running 47.
Before cycle  202:       ready  0      ready  0      ready  0      ready  0    running 46.
Before cycle  203:       ready  0      ready  0      ready  0      ready  0    running 45.
Before cycle  204:       ready  0      ready  0      ready  0      ready  0    running 44.
Before cycle  205:       ready  0      ready  0      ready  0      ready  0    running 43.
Before cycle  206:       ready  0      ready  0      ready  0      ready  0    running 42.
Before cycle  207:       ready  0      ready  0      ready  0      ready  0    running 41.
Before cycle  208:       ready  0      ready  0      ready  0      ready  0    running 40.
Before cycle  209:       ready  0      ready  0      ready  0      ready  0    running 39.
Before cycle  210:       ready  0      ready  0      ready  0      ready  0    running 38.
Before cycle  211:       ready  0      ready  0      ready  0      ready  0    running 37.
Before cycle  212:       ready  0      ready  0      ready  0      ready  0    running 36.
Before cycle  213:       ready  0      ready  0      ready  0      ready  0    running 35.
Before cycle  214:       ready  0      ready  0      ready  0      ready  0    running 34.
Before cycle  215:       ready  0      ready  0      ready  0      ready  0    running 33.
Before cycle  216:       ready  0      ready  0      ready  0      ready  0    running 32.
Before cycle  217:       ready  0      ready  0      ready  0      ready  0    running 31.
Before cycle  218:       ready  0      ready  0      ready  0      ready  0    running 30.
Before cycle  219:       ready  0      ready  0      ready  0      ready  0    running 29.
Before cycle  220:       ready  0      ready  0      ready  0      ready  0    running 28.
Before cycle  221:       ready  0      ready  0      ready  0      ready  0    running 27.
Before cycle  222:       ready  0      ready  0      ready  0      ready  0    running 26.
Before cycle  223:       ready  0      ready  0      ready  0      ready  0    running 25.
Before cycle  224:       ready  0      ready  0      ready  0      ready  0    running 24.
Before cycle  225:       ready  0      ready  0      ready  0      ready  0    running 23.
Before cycle  226:       ready  0      ready  0      ready  0      ready  0    running 22.
Before cycle  227:       ready  0      ready  0      ready  0      ready  0    running 21.
Before cycle  228:       ready  0      ready  0      ready  0      ready  0    running 20.
Before cycle  229:       ready  0      ready  0      ready  0      ready  0    running 19.
Before cycle  230:       ready  0      ready  0      ready  0      ready  0    running 18.
Before cycle  231:       ready  0      ready  0      ready  0      ready  0    running 17.
Before cycle  232:       ready  0      ready  0      ready  0      ready  0    running 16.
Before cycle  233:       ready  0      ready  0      ready  0      ready  0    running 15.
Before cycle  234:       ready  0      ready  0      ready  0      ready  0    running 14.
Before cycle  235:       ready  0      ready  0      ready  0      ready  0    running 13.
Before cycle  236:       ready  0      ready  0      ready  0      ready  0    running 12.
Before cycle  237:       ready  0      ready  0      ready  0      ready  0    running 11.
Before cycle  238:       ready  0      ready  0      ready  0      ready  0    running 10.
Before cycle  239:       ready  0      ready  0      ready  0      ready  0    running  9.
Before cycle  240:       ready  0      ready  0      ready  0      ready  0    running  8.
Before cycle  241:       ready  0      ready  0      ready  0      ready  0    running  7.
Before cycle  242:       ready  0      ready  0      ready  0      ready  0    running  6.
Before cycle  243:       ready  0      ready  0      ready  0      ready  0    running  5.
Before cycle  244:       ready  0      ready  0      ready  0      ready  0    running  4.
Before cycle  245:       ready  0      ready  0      ready  0      ready  0    running  3.
Before cycle  246:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  247:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  248:       ready  0      ready  0      ready  0    running  1    blocked  1.
Before cycle  249:     running  3      ready  0      ready  0    blocked  3      ready  0.
Before cycle  250:     running  2      ready  0      ready  0    blocked  2      ready  0.
Before cycle  251:     running  1      ready  0      ready  0    blocked  1      ready  0.
Before cycle  252:     blocked  1      ready  0      ready  0    running  1      ready  0.
Before cycle  253:     running  3      ready  0      ready  0    blocked  3      ready  0.
Before cycle  254:     running  2      ready  0      ready  0    blocked  2      ready  0.
Before cycle  255:     running  1      ready  0      ready  0    blocked  1      ready  0.
Before cycle  256:     blocked  2      ready  0      ready  0    running  1      ready  0.
Before cycle  257:     blocked  1    running  9      ready  0    blocked  1      ready  0.
Before cycle  258:       ready  0    running  8      ready  0      ready  0      ready  0.
Before cycle  259:       ready  0    running  7      ready  0      ready  0      ready  0.
Before cycle  260:       ready  0    running  6      ready  0      ready  0      ready  0.
Before cycle  261:       ready  0    running  5      ready  0      ready  0      ready  0.
Before cycle  262:       ready  0    running  4      ready  0      ready  0      ready  0.
Before cycle  263:       ready  0    running  3      ready  0      ready  0      ready  0.
Before cycle  264:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  265:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  266:       ready  0    blocked  1      ready  0    running  1      ready  0.
Before cycle  267:     running  2      ready  0      ready  0    blocked  2      ready  0.
Before cycle  268:     running  1      ready  0      ready  0    blocked  1      ready  0.
Before cycle  269:     blocked  1      ready  0      ready  0    running  1      ready  0.
Before cycle  270:     running  1      ready  0      ready  0    blocked  3      ready  0.
Before cycle  271:     blocked  2      ready  0    running 15    blocked  2      ready  0.
Before cycle  272:     blocked  1      ready  0    running 14    blocked  1      ready  0.
Before cycle  273:       ready  0      ready  0    running 13      ready  0      ready  0.
Before cycle  274:       ready  0      ready  0    running 12      ready  0      ready  0.
Before cycle  275:       ready  0      ready  0    running 11      ready  0      ready  0.
Before cycle  276:       ready  0      ready  0    running 10      ready  0      ready  0.
Before cycle  277:       ready  0      ready  0    running  9      ready  0      ready  0.
Before cycle  278:       ready  0      ready  0    running  8      ready  0      ready  0.
Before cycle  279:       ready  0      ready  0    running  7      ready  0      ready  0.
Before cycle  280:       ready  0      ready  0    running  6      ready  0      ready  0.
Before cycle  281:       ready  0      ready  0    running  5      ready  0      ready  0.
Before cycle  282:       ready  0      ready  0    running  4      ready  0      ready  0.
Before cycle  283:       ready  0      ready  0    running  3      ready  0      ready  0.
Before cycle  284:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  285:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  286:       ready  0      ready  0    blocked  2    running  1      ready  0.
Before cycle  287:     running  3      ready  0    blocked  1    blocked  1      ready  0.
Before cycle  288:     running  2      ready  0      ready  0      ready  0      ready  0.
Before cycle  289:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  290:     blocked  3      ready  0      ready  0    running  1      ready  0.
Before cycle  291:     blocked  2    running  8      ready  0    blocked  1      ready  0.
Before cycle  292:     blocked  1    running  7      ready  0      ready  0      ready  0.
Before cycle  293:       ready  0    running  6      ready  0      ready  0      ready  0.
Before cycle  294:       ready  0    running  5      ready  0      ready  0      ready  0.
Before cycle  295:       ready  0    running  4      ready  0      ready  0      ready  0.
Before cycle  296:       ready  0    running  3      ready  0      ready  0      ready  0.
Before cycle  297:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  298:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  299:       ready  0    blocked  3      ready  0    running  1      ready  0.
Before cycle  300:     running  3    blocked  2      ready  0    blocked  3      ready  0.
Before cycle  301:     running  2    blocked  1      ready  0    blocked  2      ready  0.
Before cycle  302:     running  1      ready  0      ready  0    blocked  1      ready  0.
Before cycle  303:     blocked  2      ready  0      ready  0    running  1      ready  0.
Before cycle  304:     blocked  1    running  2      ready  0    blocked  3      ready  0.
Before cycle  305:       ready  0    running  1      ready  0    blocked  2      ready  0.
Before cycle  306:     running  2    blocked  3      ready  0    blocked  1      ready  0.
Before cycle  307:     running  1    blocked  2      ready  0      ready  0      ready  0.
Before cycle  308:     blocked  1    blocked  1      ready  0    running  1      ready  0.
Before cycle  309:     running  1      ready  0      ready  0    blocked  2      ready  0.
Before cycle  310:     blocked  3    running  4      ready  0    blocked  1      ready  0.
Before cycle  311:     blocked  2    running  3      ready  0      ready  0      ready  0.
Before cycle  312:     blocked  1    running  2      ready  0      ready  0      ready  0.
Before cycle  313:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  314:       ready  0    blocked  3      ready  0    running  1      ready  0.
Before cycle  315:     running  1    blocked  2      ready  0    blocked  2      ready  0.
Before cycle  316:     blocked  2    blocked  1    running 18    blocked  1      ready  0.
Before cycle  317:     blocked  1      ready  0    running 17      ready  0      ready  0.
Before cycle  318:       ready  0      ready  0    running 16      ready  0      ready  0.
Before cycle  319:       ready  0      ready  0    running 15      ready  0      ready  0.
Before cycle  320:       ready  0      ready  0    running 14      ready  0      ready  0.
Before cycle  321:       ready  0      ready  0    running 13      ready  0      ready  0.
Before cycle  322:       ready  0      ready  0    running 12      ready  0      ready  0.
Before cycle  323:       ready  0      ready  0    running 11      ready  0      ready  0.
Before cycle  324:       ready  0      ready  0    running 10      ready  0      ready  0.
Before cycle  325:       ready  0      ready  0    running  9      ready  0      ready  0.
Before cycle  326:       ready  0      ready  0    running  8      ready  0      ready  0.
Before cycle  327:       ready  0      ready  0    running  7      ready  0      ready  0.
Before cycle  328:       ready  0      ready  0    running  6      ready  0      ready  0.
Before cycle  329:       ready  0      ready  0    running  5      ready  0      ready  0.
Before cycle  330:       ready  0      ready  0    running  4      ready  0      ready  0.
Before cycle  331:       ready  0      ready  0    running  3      ready  0      ready  0.
Before cycle  332:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  333:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  334:       ready  0      ready  0    blocked  1    running  1      ready  0.
Before cycle  335:     running  2      ready  0      ready  0    blocked  3      ready  0.
Before cycle  336:     running  1      ready  0      ready  0    blocked  2      ready  0.
Before cycle  337:     blocked  3    running  6      ready  0    blocked  1      ready  0.
Before cycle  338:     blocked  2    running  5      ready  0      ready  0      ready  0.
Before cycle  339:     blocked  1    running  4      ready  0      ready  0      ready  0.
Before cycle  340:       ready  0    running  3      ready  0      ready  0      ready  0.
Before cycle  341:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  342:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  343:       ready  0    blocked  3      ready  0    running  1      ready  0.
Before cycle  344:     running  3    blocked  2      ready  0    blocked  1      ready  0.
Before cycle  345:     running  2    blocked  1      ready  0      ready  0      ready  0.
Before cycle  346:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  347:     blocked  3      ready  0      ready  0    running  1      ready  0.
Before cycle  348:     blocked  2    running  1      ready  0    blocked  3      ready  0.
Before cycle  349:     blocked  1    blocked  1    running  9    blocked  2      ready  0.
Before cycle  350:       ready  0      ready  0    running  8    blocked  1      ready  0.
Before cycle  351:       ready  0      ready  0    running  7      ready  0      ready  0.
Before cycle  352:       ready  0      ready  0    running  6      ready  0      ready  0.
Before cycle  353:       ready  0      ready  0    running  5      ready  0      ready  0.
Before cycle  354:       ready  0      ready  0    running  4      ready  0      ready  0.
Before cycle  355:       ready  0      ready  0    running  3      ready  0      ready  0.
Before cycle  356:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  357:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  358:       ready  0      ready  0    blocked  3    running  1      ready  0.
Before cycle  359:     running  1      ready  0    blocked  2    blocked  1      ready  0.
Before cycle  360:     blocked  3      ready  0    blocked  1    running  1      ready  0.
Before cycle  361:     blocked  2    running  3      ready  0    blocked  2      ready  0.
Before cycle  362:     blocked  1    running  2      ready  0    blocked  1      ready  0.
Before cycle  363:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  364:       ready  0    blocked  1      ready  0    running  1      ready  0.
Before cycle  365:     running  3      ready  0      ready  0    blocked  3      ready  0.
Before cycle  366:     running  2      ready  0      ready  0    blocked  2      ready  0.
Before cycle  367:     running  1      ready  0      ready  0    blocked  1      ready  0.
Before cycle  368:     blocked  2      ready  0      ready  0    running  1      ready  0.
Before cycle  369:     blocked  1    running  2      ready  0    blocked  3      ready  0.
Before cycle  370:       ready  0    running  1      ready  0    blocked  2      ready  0.
Before cycle  371:     running  2    blocked  3      ready  0    blocked  1      ready  0.
Before cycle  372:     running  1    blocked  2      ready  0      ready  0      ready  0.
Before cycle  373:     blocked  2    blocked  1      ready  0    running  1      ready  0.
Before cycle  374:     blocked  1    running  7      ready  0    blocked  2      ready  0.
Before cycle  375:       ready  0    running  6      ready  0    blocked  1      ready  0.
Before cycle  376:       ready  0    running  5      ready  0      ready  0      ready  0.
Before cycle  377:       ready  0    running  4      ready  0      ready  0      ready  0.
Before cycle  378:       ready  0    running  3      ready  0      ready  0      ready  0.
Before cycle  379:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  380:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  381:       ready  0    blocked  2      ready  0    running  1      ready  0.
Before cycle  382:     running  1    blocked  1      ready  0    blocked  3      ready  0.
Before cycle  383:     blocked  1    running  9      ready  0    blocked  2      ready  0.
Before cycle  384:       ready  0    running  8      ready  0    blocked  1      ready  0.
Before cycle  385:       ready  0    running  7      ready  0      ready  0      ready  0.
Before cycle  386:       ready  0    running  6      ready  0      ready  0      ready  0.
Before cycle  387:       ready  0    running  5      ready  0      ready  0      ready  0.
Before cycle  388:       ready  0    running  4      ready  0      ready  0      ready  0.
Before cycle  389:       ready  0    running  3      ready  0      ready  0      ready  0.
Before cycle  390:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  391:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  392:       ready  0    blocked  2      ready  0    running  1      ready  0.
