Before cycle    0:   unstarted  0  unstarted  0  unstarted  0  unstarted  0  unstarted  0.
Before cycle   60:     blocked  2    blocked  3    running  2  unstarted  0  unstarted  0.
Before cycle   61:     blocked  1    blocked  2    running  1  unstarted  0  unstarted  0.
Before cycle   62:     running  2    blocked  1      ready  0  unstarted  0  unstarted  0.
Before cycle   63:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   64:     blocked  2      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   65:     blocked  1      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   66:       ready  0    running  2    blocked  2  unstarted  0  unstarted  0.
Before cycle   67:       ready  0    running  1    blocked  1  unstarted  0  unstarted  0.
Before cycle   68:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   69:     blocked  1    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   70:       ready  0    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   71:       ready  0      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   72:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   73:     running  2      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   74:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   75:       ready  0    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   76:       ready  0    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   77:       ready  0    blocked  1    running  2  unstarted  0  unstarted  0.
Before cycle   78:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   79:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   80:     blocked  2    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   81:     blocked  1    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   82:       ready  0      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   83:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   84:     running  2      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   85:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   86:     blocked  2    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   87:     blocked  1    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   88:       ready  0      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   89:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   90:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   91:     blocked  1    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   92:       ready  0    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   93:       ready  0      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   94:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   95:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   96:     blocked  3    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   97:     blocked  2    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   98:     blocked  1    blocked  3    running  2  unstarted  0  unstarted  0.
Before cycle   99:       ready  0    blocked  2    running  1  unstarted  0  unstarted  0.
Before cycle  100:     running  2    blocked  1      ready  0  unstarted  0  unstarted  0.
Before cycle  101:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  102:     blocked  3      ready  0    running  2      ready  0      ready  0.
Before cycle  103:     blocked  2      ready  0    running  1      ready  0      ready  0.
Before cycle  104:     blocked  1    running  2      ready  0      ready  0      ready  0.
Before cycle  105:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  106:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  107:       ready  0      ready  0      ready  0    blocked  1    running  2.
Before cycle  108:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  109:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  110:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  111:     running  2      ready  0      ready  0      ready  0      ready  0.
Before cycle  112:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  113:     blocked  2    running  1      ready  0      ready  0      ready  0.
Before cycle  114:     blocked  1    blocked  3      ready  0    running  1      ready  0.
Before cycle  115:       ready  0    blocked  2      ready  0    blocked  1    running  2.
Before cycle  116:       ready  0    blocked  1      ready  0      ready  0    running  1.
Before cycle  117:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  118:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  119:     running  2      ready  0      ready  0      ready  0      ready  0.
Before cycle  120:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  121:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  122:       ready  0    running  2      ready  0    blocked  2      ready  0.
Before cycle  123:       ready  0    running  1      ready  0    blocked  1      ready  0.
Before cycle  124:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  125:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  126:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  127:     running  1      ready  0    blocked  1      ready  0      ready  0.
Before cycle  128:     blocked  1    running  2      ready  0      ready  0      ready  0.
Before cycle  129:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  130:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  131:       ready  0      ready  0      ready  0    blocked  1    running  2.
Before cycle  132:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  133:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  134:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  135:     running  2      ready  0      ready  0      ready  0      ready  0.
Before cycle  136:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  137:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  138:       ready  0    blocked  2      ready  0    running  1      ready  0.
Before cycle  139:       ready  0    blocked  1      ready  0    blocked  2    running  2.
Before cycle  140:       ready  0      ready  0      ready  0    blocked  1    running  1.
Before cycle  141:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  142:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  143:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  144:     blocked  3    running  1      ready  0      ready  0      ready  0.
Before cycle  145:     blocked  2    blocked  1      ready  0    running  1      ready  0.
Before cycle  146:     blocked  1      ready  0      ready  0    blocked  1    running  2.
Before cycle  147:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  148:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  149:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  150:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  151:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  152:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  153:     blocked  3      ready  0      ready  0    running  1      ready  0.
Before cycle  154:     blocked  2      ready  0      ready  0    blocked  1    running  2.
Before cycle  155:     blocked  1      ready  0      ready  0      ready  0    running  1.
Before cycle  156:       ready  0      ready  0    running  2      ready  0    blocked  3.
Before cycle  157:       ready  0      ready  0    running  1      ready  0    blocked  2.
Before cycle  158:       ready  0    running  1      ready  0      ready  0    blocked  1.
Before cycle  159:       ready  0    blocked  2      ready  0    running  1      ready  0.
Before cycle  160:     running  2    blocked  1      ready  0    blocked  1      ready  0.
Before cycle  161:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  162:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  163:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  164:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  165:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  166:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  167:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  168:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  169:     running  1      ready  0      ready  0    blocked  3      ready  0.
Before cycle  170:     blocked  3      ready  0    running  2    blocked  2      ready  0.
Before cycle  171:     blocked  2      ready  0    running  1    blocked  1      ready  0.
Before cycle  172:     blocked  1      ready  0      ready  0      ready  0    running  2.
Before cycle  173:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  174:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  175:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  176:       ready  0    blocked  2    running  2      ready  0      ready  0.
Before cycle  177:       ready  0    blocked  1    running  1      ready  0      ready  0.
Before cycle  178:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  179:     running  2      ready  0      ready  0    blocked  1      ready  0.
Before cycle  180:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  181:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  182:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  183:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  184:       ready  0    blocked  2    running  2      ready  0      ready  0.
Before cycle  185:       ready  0    blocked  1    running  1      ready  0      ready  0.
Before cycle  186:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  187:     running  1      ready  0      ready  0    blocked  2      ready  0.
Before cycle  188:     blocked  1      ready  0      ready  0    blocked  1    running  2.
Before cycle  189:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  190:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  191:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  192:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  193:     running  1      ready  0    blocked  3      ready  0      ready  0.
Before cycle  194:     blocked  2      ready  0    blocked  2    running  1      ready  0.
Before cycle  195:     blocked  1      ready  0    blocked  1    blocked  2    running  2.
Before cycle  196:       ready  0      ready  0      ready  0    blocked  1    running  1.
Before cycle  197:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  198:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  199:     running  1    blocked  3      ready  0      ready  0      ready  0.
Before cycle  200:     blocked  3    blocked  2    running  2      ready  0      ready  0.
Before cycle  201:     blocked  2    blocked  1    running  1      ready  0      ready  0.
Before cycle  202:     blocked  1      ready  0      ready  0    running  1      ready  0.
Before cycle  203:       ready  0      ready  0      ready  0    blocked  1    running  2.
Before cycle  204:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  205:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  206:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  207:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  208:     running  2      ready  0    blocked  3      ready  0      ready  0.
Before cycle  209:     running  1      ready  0    blocked  2      ready  0      ready  0.
Before cycle  210:     blocked  3      ready  0    blocked  1    running  1      ready  0.
Before cycle  211:     blocked  2      ready  0      ready  0    blocked  2    running  2.
Before cycle  212:     blocked  1      ready  0      ready  0    blocked  1    running  1.
Before cycle  213:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  214:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  215:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  216:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  217:     running  2      ready  0      ready  0      ready  0      ready  0.
Before cycle  218:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  219:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  220:       ready  0      ready  0      ready  0    blocked  3    running  2.
Before cycle  221:       ready  0      ready  0      ready  0    blocked  2    running  1.
Before cycle  222:       ready  0    running  2      ready  0    blocked  1      ready  0.
Before cycle  223:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  224:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  225:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  226:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  227:     blocked  2      ready  0      ready  0      ready  0    running  2.
Before cycle  228:     blocked  1      ready  0      ready  0      ready  0    running  1.
Before cycle  229:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  230:       ready  0    running  2      ready  0    blocked  1      ready  0.
Before cycle  231:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  232:       ready  0    blocked  2    running  2      ready  0      ready  0.
Before cycle  233:       ready  0    blocked  1    running  1      ready  0      ready  0.
Before cycle  234:     running  2      ready  0    blocked  1      ready  0      ready  0.
Before cycle  235:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  236:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  237:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  238:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  239:       ready  0    running  1      ready  0    blocked  3      ready  0.
Before cycle  240:       ready  0    blocked  2    running  2    blocked  2      ready  0.
Before cycle  241:       ready  0    blocked  1    running  1    blocked  1      ready  0.
Before cycle  242:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  243:     blocked  2      ready  0      ready  0      ready  0    running  2.
Before cycle  244:     blocked  1      ready  0      ready  0      ready  0    running  1.
Before cycle  245:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  246:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  247:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  248:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  249:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  250:     running  2      ready  0      ready  0    blocked  1      ready  0.
Before cycle  251:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  252:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  253:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  254:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  255:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  256:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  257:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  258:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  259:     running  1      ready  0      ready  0    blocked  3      ready  0.
Before cycle  260:     blocked  3      ready  0      ready  0    blocked  2    running  2.
Before cycle  261:     blocked  2      ready  0      ready  0    blocked  1    running  1.
Before cycle  262:     blocked  1    running  2      ready  0      ready  0      ready  0.
Before cycle  263:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  264:       ready  0    blocked  3    running  2      ready  0      ready  0.
Before cycle  265:       ready  0    blocked  2    running  1      ready  0      ready  0.
Before cycle  266:       ready  0    blocked  1    blocked  2    running  1      ready  0.
Before cycle  267:       ready  0      ready  0    blocked  1    blocked  3    running  2.
Before cycle  268:       ready  0      ready  0      ready  0    blocked  2    running  1.
Before cycle  269:     running  2      ready  0      ready  0    blocked  1      ready  0.
Before cycle  270:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  271:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  272:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  273:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  274:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  275:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  276:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  277:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  278:     running  1      ready  0      ready  0    blocked  1      ready  0.
Before cycle  279:     blocked  2    running  2      ready  0      ready  0      ready  0.
Before cycle  280:     blocked  1    running  1      ready  0      ready  0      ready  0.
Before cycle  281:       ready  0    blocked  3    running  2      ready  0      ready  0.
Before cycle  282:       ready  0    blocked  2    running  1      ready  0      ready  0.
Before cycle  283:       ready  0    blocked  1      ready  0      ready  0    running  2.
Before cycle  284:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  285:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  286:     running  1      ready  0      ready  0    blocked  1      ready  0.
Before cycle  287:     blocked  3      ready  0    running  2      ready  0      ready  0.
Before cycle  288:     blocked  2      ready  0    running  1      ready  0      ready  0.
Before cycle  289:     blocked  1    running  2      ready  0      ready  0      ready  0.
Before cycle  290:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  291:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  292:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  293:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  294:       ready  0      ready  0    running  2    blocked  3      ready  0.
Before cycle  295:       ready  0      ready  0    running  1    blocked  2      ready  0.
Before cycle  296:     running  1      ready  0      ready  0    blocked  1      ready  0.
Before cycle  297:     blocked  2    running  2      ready  0      ready  0      ready  0.
Before cycle  298:     blocked  1    running  1      ready  0      ready  0      ready  0.
Before cycle  299:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  300:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  301:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  302:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  303:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  304:     running  2      ready  0      ready  0    blocked  3      ready  0.
Before cycle  305:     running  1      ready  0      ready  0    blocked  2      ready  0.
Before cycle  306:     blocked  3    running  2      ready  0    blocked  1      ready  0.
Before cycle  307:     blocked  2    running  1      ready  0      ready  0      ready  0.
Before cycle  308:     blocked  1    blocked  3      ready  0      ready  0    running  2.
Before cycle  309:       ready  0    blocked  2      ready  0      ready  0    running  1.
Before cycle  310:       ready  0    blocked  1    running  2      ready  0      ready  0.
Before cycle  311:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  312:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  313:     running  2      ready  0      ready  0    blocked  3      ready  0.
Before cycle  314:     running  1      ready  0      ready  0    blocked  2      ready  0.
Before cycle  315:     blocked  2      ready  0      ready  0    blocked  1    running  2.
Before cycle  316:     blocked  1      ready  0      ready  0      ready  0    running  1.
Before cycle  317:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  318:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  319:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  320:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  321:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  322:     running  2      ready  0      ready  0    blocked  1      ready  0.
Before cycle  323:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  324:     blocked  3      ready  0      ready  0      ready  0    running  2.
Before cycle  325:     blocked  2      ready  0      ready  0      ready  0    running  1.
Before cycle  326:     blocked  1    running  2      ready  0      ready  0      ready  0.
Before cycle  327:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  328:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  329:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  330:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  331:       ready  0      ready  0      ready  0    blocked  1    running  2.
Before cycle  332:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  333:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  334:     blocked  3    running  2      ready  0      ready  0      ready  0.
Before cycle  335:     blocked  2    running  1      ready  0      ready  0      ready  0.
Before cycle  336:     blocked  1      ready  0    running  2      ready  0      ready  0.
Before cycle  337:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  338:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  339:       ready  0      ready  0      ready  0    blocked  1    running  2.
Before cycle  340:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  341:       ready  0    running  2      ready  0      ready  0      ready  0.
Before cycle  342:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  343:     running  2      ready  0      ready  0      ready  0      ready  0.
Before cycle  344:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  345:     blocked  2      ready  0    running  2      ready  0      ready  0.
Before cycle  346:     blocked  1      ready  0    running  1      ready  0      ready  0.
Before cycle  347:       ready  0      ready  0    blocked  3    running  1      ready  0.
Before cycle  348:       ready  0      ready  0    blocked  2    blocked  2    running  2.
Before cycle  349:       ready  0      ready  0    blocked  1    blocked  1    running  1.
Before cycle  350:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  351:     running  2    blocked  3      ready  0      ready  0      ready  0.
Before cycle  352:     running  1    blocked  2      ready  0      ready  0      ready  0.
Before cycle  353:       ready  0    blocked  1    running  2      ready  0      ready  0.
Before cycle  354:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  355:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  356:       ready  0      ready  0      ready  0    blocked  3    running  2.
Before cycle  357:       ready  0      ready  0      ready  0    blocked  2    running  1.
Before cycle  358:     running  1      ready  0      ready  0    blocked  1      ready  0.
Before cycle  359:     blocked  2    running  2      ready  0      ready  0      ready  0.
Before cycle  360:     blocked  1    running  1      ready  0      ready  0      ready  0.
Before cycle  361:       ready  0      ready  0    running  2      ready  0      ready  0.
Before cycle  362:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  363:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  364:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  365:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  366:     running  2      ready  0      ready  0    blocked  1      ready  0.
Before cycle  367:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  368:     blocked  3    running  2      ready  0      ready  0      ready  0.
Before cycle  369:     blocked  2    running  1      ready  0      ready  0      ready  0.
Before cycle  370:     blocked  1      ready  0    running  2      ready  0      ready  0.
Before cycle  371:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  372:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  373:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  374:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  375:       ready  0    running  2      ready  0    blocked  1      ready  0.
Before cycle  376:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  377:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  378:     blocked  1      ready  0    running  2      ready  0      ready  0.
Before cycle  379:       ready  0      ready  0    running  1      ready  0      ready  0.
Before cycle  380:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  381:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  382:       ready  0      ready  0      ready  0    running  1      ready  0.
Before cycle  383:       ready  0    running  2      ready  0    blocked  3      ready  0.
Before cycle  384:       ready  0    running  1      ready  0    blocked  2      ready  0.
Before cycle  385:     running  2      ready  0      ready  0    blocked  1      ready  0.
Before cycle  386:     running  1      ready  0      ready  0      ready  0      ready  0.
Before cycle  387:     blocked  2      ready  0    running  2      ready  0      ready  0.
Before cycle  388:     blocked  1      ready  0    running  1      ready  0      ready  0.
Before cycle  389:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  390:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  391:       ready  0    running  1      ready  0      ready  0      ready  0.
